"lon","lat","dist"
-30.5,60.5,0.111412273366703
-30.5,59.5,0.222807386736213
-30.5,58.5,0.334185023128634
-30.5,57.5,0.445544887099091
-30.5,56.5,0.556886705084572
-30.5,55.5,0.668210225722989
-30.5,54.5,0.779515220144162
-30.5,53.5,0.890801482232426
-30.5,52.5,1.00206882886063
-30.5,51.5,1.11331710009536
-30.5,50.5,1.2245461593731
-30.5,49.5,1.33575589364744
-30.5,48.5,1.446946213507
-30.5,47.5,1.55811705326416
-30.5,46.5,1.66926837101453
-30.5,45.5,1.78040014866734
-30.5,44.5,1.89151239194647
-30.5,43.5,2.00260513036267
-30.5,42.5,2.11367841715671
-30.5,41.5,2.22473232921387
-30.5,40.5,2.33576696694992
-30.5,39.5,2.44678245416872
-30.5,38.5,2.5577789378919
-30.5,37.5,2.66875658816078
-30.5,36.5,2.77971559781087
-30.5,35.5,2.89065618221939
-30.5,34.5,3.00157857902616
-30.5,33.5,3.11248304782826
-30.5,32.5,3.2233698698489
-30.5,31.5,3.33423934758109
-30.5,30.5,3.44509180440642
-30.5,29.5,3.55592758418962
-30.5,28.5,3.66674705084944
-30.5,27.5,3.7775505879063
-30.5,26.5,3.88833859800745
-30.5,25.5,3.9991115024302
-30.5,24.5,4.10986974056379
-30.5,23.5,4.22061376937066
-30.5,22.5,4.33134406282771
-30.5,21.5,4.44206111134829
-30.5,20.5,4.55276542118561
-30.5,19.5,4.66345751381826
-30.5,18.5,4.77413792531863
-30.5,17.5,4.88480720570494
-30.5,16.5,4.99546591827768
-30.5,15.5,5.10611463894117
-30.5,14.5,5.21675395551114
-30.5,13.5,5.32738446700899
-30.5,12.5,5.43800678294366
-30.5,11.5,5.54862152258186
-30.5,10.5,5.6592293142075
-30.5,9.5,5.76983079437117
-30.5,8.5,5.88042660713049
-30.5,7.5,5.99101740328222
-30.5,6.5,6.10160383958692
-30.5,5.5,6.21218657798708
-30.5,4.5,6.32276628481954
-30.5,3.5,6.43334363002312
-30.5,2.5,6.54391928634227
-30.5,1.5,6.65449392852766
-30.5,0.5,6.76506823253456
-30.5,-0.5,6.87564287471994
-30.5,-1.5,6.98621853103909
-30.5,-2.5,7.09679587624267
-30.5,-3.5,7.20737558307513
-30.5,-4.5,7.31795832147529
-30.5,-5.5,7.42854475777999
-30.5,-6.5,7.53913555393172
-30.5,-7.5,7.64973136669104
-30.5,-8.5,7.76033284685471
-30.5,-9.5,7.87094063848035
-30.5,-10.5,7.98155537811855
-30.5,-11.5,8.09217769405322
-30.5,-12.5,8.20280820555107
-30.5,-13.5,8.31344752212104
-30.5,-14.5,8.42409624278454
-30.5,-15.5,8.53475495535727
-30.5,-16.5,8.64542423574358
-30.5,-17.5,8.75610464724395
-30.5,-18.5,8.8667967398766
-30.5,-19.5,8.97750104971392
-30.5,-20.5,9.0882180982345
-30.5,-21.5,9.19894839169155
-30.5,-22.5,9.30969242049842
-30.5,-23.5,9.42045065863201
-30.5,-24.5,9.53122356305476
-30.5,-25.5,9.64201157315591
-30.5,-26.5,9.75281511021277
-30.5,-27.5,9.86363457687259
-30.5,-28.5,9.97447035665579
-30.5,-29.5,10.0853228134811
-30.5,-30.5,10.1961922912133
-30.5,-31.5,10.307079113234
-30.5,-32.5,10.417983582036
-30.5,-33.5,10.5289059788428
-30.5,-34.5,10.6398465632513
-30.5,-35.5,10.7508055729014
-30.5,-36.5,10.8617832231703
-30.5,-37.5,10.9727797068935
