"lon","lat","dist","depth","value"
-30.5,60.5,0.111412273366703,500,2108.37646484375
-30.5,60.5,0.111412273366703,500,2109.53784179688
-30.5,60.5,0.111412273366703,1500,2108.4365234375
-30.5,60.5,0.111412273366703,1500,2109.6025390625
-30.5,60.5,0.111412273366703,2500,2109.87963867188
-30.5,60.5,0.111412273366703,2500,2111.08569335938
-30.5,60.5,0.111412273366703,3500,2120.50732421875
-30.5,60.5,0.111412273366703,3500,2120.74340820312
-30.5,60.5,0.111412273366703,4500,2137.01513671875
-30.5,60.5,0.111412273366703,4500,2136.8271484375
-30.5,60.5,0.111412273366703,5500,2151.55297851562
-30.5,60.5,0.111412273366703,5500,2151.41381835938
-30.5,60.5,0.111412273366703,6500,2163.3798828125
-30.5,60.5,0.111412273366703,6500,2163.4794921875
-30.5,60.5,0.111412273366703,7500,2171.45776367188
-30.5,60.5,0.111412273366703,7500,2171.84814453125
-30.5,60.5,0.111412273366703,8500,2176.41552734375
-30.5,60.5,0.111412273366703,8500,2177.0078125
-30.5,60.5,0.111412273366703,9500,2179.85595703125
-30.5,60.5,0.111412273366703,9500,2180.43139648438
-30.5,60.5,0.111412273366703,10500,2183.3369140625
-30.5,60.5,0.111412273366703,10500,2183.67529296875
-30.5,60.5,0.111412273366703,11500,2187.90747070312
-30.5,60.5,0.111412273366703,11500,2187.90747070312
-30.5,60.5,0.111412273366703,12500,2193.85205078125
-30.5,60.5,0.111412273366703,12500,2193.54272460938
-30.5,60.5,0.111412273366703,13500,2200.73071289062
-30.5,60.5,0.111412273366703,13500,2200.23388671875
-30.5,60.5,0.111412273366703,14500,2207.6591796875
-30.5,60.5,0.111412273366703,14500,2207.10009765625
-30.5,60.5,0.111412273366703,15500,2213.70849609375
-30.5,60.5,0.111412273366703,15500,2213.19189453125
-30.5,60.5,0.111412273366703,16509.83984375,2218.32934570312
-30.5,60.5,0.111412273366703,16509.83984375,2217.90673828125
-30.5,60.5,0.111412273366703,17547.904296875,2221.43920898438
-30.5,60.5,0.111412273366703,17547.904296875,2221.1162109375
-30.5,60.5,0.111412273366703,18629.126953125,2223.30102539062
-30.5,60.5,0.111412273366703,18629.126953125,2223.05737304688
-30.5,60.5,0.111412273366703,19766.02734375,2224.32861328125
-30.5,60.5,0.111412273366703,19766.02734375,2224.1279296875
-30.5,60.5,0.111412273366703,20971.138671875,2224.86791992188
-30.5,60.5,0.111412273366703,20971.138671875,2224.68579101562
-30.5,60.5,0.111412273366703,22257.828125,2225.12524414062
-30.5,60.5,0.111412273366703,22257.828125,2224.95336914062
-30.5,60.5,0.111412273366703,23640.8828125,2225.22265625
-30.5,60.5,0.111412273366703,23640.8828125,2225.05590820312
-30.5,60.5,0.111412273366703,25137.015625,2225.23974609375
-30.5,60.5,0.111412273366703,25137.015625,2225.09106445312
-30.5,60.5,0.111412273366703,26765.419921875,2225.23022460938
-30.5,60.5,0.111412273366703,26765.419921875,2225.07861328125
-30.5,60.5,0.111412273366703,28548.365234375,2225.19555664062
-30.5,60.5,0.111412273366703,28548.365234375,2225.06909179688
-30.5,60.5,0.111412273366703,30511.921875,2225.15112304688
-30.5,60.5,0.111412273366703,30511.921875,2225.04467773438
-30.5,60.5,0.111412273366703,32686.798828125,2225.09887695312
-30.5,60.5,0.111412273366703,32686.798828125,2225.00732421875
-30.5,60.5,0.111412273366703,35109.34765625,2224.986328125
-30.5,60.5,0.111412273366703,35109.34765625,2224.95971679688
-30.5,60.5,0.111412273366703,37822.76171875,2224.88549804688
-30.5,60.5,0.111412273366703,37822.76171875,2224.83837890625
-30.5,60.5,0.111412273366703,40878.46484375,2224.69848632812
-30.5,60.5,0.111412273366703,40878.46484375,2224.69311523438
-30.5,60.5,0.111412273366703,44337.76953125,2224.5068359375
-30.5,60.5,0.111412273366703,44337.76953125,2224.51220703125
-30.5,60.5,0.111412273366703,48273.671875,2224.283203125
-30.5,60.5,0.111412273366703,48273.671875,2224.30883789062
-30.5,60.5,0.111412273366703,52772.80078125,2223.98364257812
-30.5,60.5,0.111412273366703,52772.80078125,2224.02172851562
-30.5,60.5,0.111412273366703,57937.2890625,2223.61645507812
-30.5,60.5,0.111412273366703,57937.2890625,2223.61987304688
-30.5,60.5,0.111412273366703,63886.26171875,2223.05029296875
-30.5,60.5,0.111412273366703,63886.26171875,2223.0361328125
-30.5,60.5,0.111412273366703,70756.328125,2222.20825195312
-30.5,60.5,0.111412273366703,70756.328125,2222.16674804688
-30.5,60.5,0.111412273366703,78700.25,2220.98461914062
-30.5,60.5,0.111412273366703,78700.25,2220.91040039062
-30.5,60.5,0.111412273366703,87882.5234375,2219.3759765625
-30.5,60.5,0.111412273366703,87882.5234375,2219.22143554688
-30.5,60.5,0.111412273366703,98470.5859375,2217.34423828125
-30.5,60.5,0.111412273366703,98470.5859375,2217.17651367188
-30.5,60.5,0.111412273366703,110620.421875,2215.06103515625
-30.5,60.5,0.111412273366703,110620.421875,2215.00512695312
-30.5,60.5,0.111412273366703,124456.6875,2213.11743164062
-30.5,60.5,0.111412273366703,124456.6875,2213.265625
-30.5,60.5,0.111412273366703,140049.71875,2212.5205078125
-30.5,60.5,0.111412273366703,140049.71875,2212.70678710938
-30.5,60.5,0.111412273366703,157394.640625,2212.958984375
-30.5,60.5,0.111412273366703,157394.640625,2213.09790039062
-30.5,59.5,0.222807386736213,500,2105.93774414062
-30.5,59.5,0.222807386736213,500,2106.60327148438
-30.5,59.5,0.222807386736213,500,2106.59497070312
-30.5,59.5,0.222807386736213,500,2107.4228515625
